Absurd,Alone,Divorced,Married,Single,Together,Widow,YOLO,Absurd,Alone,Divorced,Married,Single,Together,Widow,YOLO,Year_Birth,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue,Join_year,Join_month,Join_weekday,Minorhome,Total_Mnt,Total_num_purchase,AOV
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1965,2,46891.0,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,3,11,2013,9,6,1,183,12,15.25
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1978,4,35544.0,1,0,77,30,5,23,4,1,4,1,2,0,3,7,0,3,11,2014,3,5,1,67,13,5.153846153846154
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1966,5,69063.0,0,1,16,666,35,124,69,8,26,1,5,3,5,3,0,3,11,2012,11,2,1,928,17,54.588235294117645
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1958,3,79803.0,0,1,54,574,8,216,21,16,33,1,4,3,5,1,0,3,11,2014,6,0,1,868,14,62.0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1970,3,28164.0,1,0,23,3,18,26,11,8,12,3,2,0,4,7,0,3,11,2013,5,5,1,78,16,4.875
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1965,5,69969.0,0,0,64,882,29,514,38,29,44,1,4,2,6,3,0,3,11,2013,8,1,0,1536,16,96.0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1967,5,56575.0,0,2,42,421,5,90,0,16,10,3,7,3,7,5,0,3,11,2013,5,6,2,542,25,21.68
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1954,3,70044.0,0,1,46,1073,0,250,153,14,14,4,7,10,5,5,0,3,11,2013,2,0,1,1504,31,48.516129032258064
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1972,2,50334.0,0,1,24,284,16,160,84,16,134,6,7,4,6,6,0,3,11,2013,7,2,1,694,29,23.93103448275862
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1950,5,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,3,11,2013,6,3,1,507,21,24.142857142857142
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1951,3,49090.0,0,1,45,494,5,82,7,0,100,3,7,2,9,7,0,3,11,2013,7,4,1,688,28,24.571428571428573
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1959,2,59052.0,0,1,29,230,35,75,63,57,31,3,7,1,7,5,0,3,11,2013,11,6,1,491,23,21.347826086956523
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1958,3,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,3,11,2013,9,4,1,653,22,29.681818181818183
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1960,2,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,3,11,2012,9,6,0,1152,19,60.63157894736842
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1953,5,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,3,11,2012,8,1,2,480,31,15.483870967741936
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1963,3,52247.25135379061,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,3,11,2013,8,6,1,725,23,31.52173913043478
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1980,3,28071.0,0,0,65,39,33,130,41,26,44,2,5,1,5,8,0,3,11,2012,8,2,0,313,21,14.904761904761905
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1952,3,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,3,11,2013,2,0,1,884,31,28.516129032258064
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1984,3,90000.0,0,0,91,675,144,133,94,192,241,1,4,8,5,1,0,3,11,2013,12,0,0,1479,19,77.84210526315789
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1951,3,80872.0,0,0,60,483,72,567,94,12,108,1,4,4,10,1,0,3,11,2014,5,0,0,1336,20,66.8
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1970,3,22979.0,1,0,29,16,17,19,20,21,22,3,3,2,2,8,0,3,11,2012,9,3,1,115,18,6.388888888888889
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1971,2,78041.0,0,0,93,482,35,553,72,160,17,1,4,4,9,2,0,3,11,2012,12,6,0,1319,20,65.95
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1961,5,54959.0,0,1,55,1148,0,60,0,0,24,3,9,5,4,7,0,3,11,2013,1,5,1,1232,28,44.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1967,3,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,3,11,2012,8,3,0,2074,37,56.054054054054056
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1972,3,31907.0,0,0,75,33,87,64,175,16,74,1,6,1,6,7,0,3,11,2013,3,0,0,449,21,21.38095238095238
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1974,3,30631.0,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,3,11,2013,7,4,1,70,14,5.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1969,3,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,3,11,2012,8,0,1,201,18,11.166666666666666
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1953,5,55707.0,0,1,91,208,7,82,30,66,35,2,3,2,9,3,0,3,11,2013,12,6,1,428,19,22.526315789473685
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1972,3,59868.0,0,1,37,771,51,154,54,10,154,7,11,2,12,6,0,3,11,2013,7,0,1,1194,38,31.42105263157895
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1972,5,70116.0,0,0,73,707,44,603,95,58,29,1,2,8,12,1,0,3,11,2013,1,5,0,1536,24,64.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1976,3,20180.0,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,3,11,2013,2,2,0,137,15,9.133333333333333
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1971,5,60585.0,1,1,17,267,42,309,55,42,21,10,7,4,9,5,0,3,11,2013,6,0,2,736,35,21.02857142857143
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1984,4,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,0,3,11,2012,11,5,0,35,10,3.5
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1954,4,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,3,11,2013,5,1,1,335,22,15.227272727272727
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1974,5,37087.0,1,0,50,194,55,134,15,0,3,3,4,2,8,6,0,3,11,2013,8,6,1,401,23,17.434782608695652
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1978,4,85738.0,0,0,41,913,26,376,17,26,13,1,3,6,11,1,0,3,11,2014,1,3,0,1371,22,62.31818181818182
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1986,3,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,3,11,2013,2,3,1,165,19,8.68421052631579
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1964,3,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,3,11,2014,1,2,1,893,23,38.82608695652174
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1969,5,56242.0,0,1,72,689,8,167,11,8,88,5,8,4,11,6,0,3,11,2013,3,6,1,971,34,28.558823529411764
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1967,5,52569.0,0,1,54,85,0,3,0,0,7,1,2,0,4,3,0,3,11,2014,4,5,1,95,10,9.5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1976,3,39356.0,1,1,21,15,0,2,0,0,6,1,1,0,2,6,0,3,11,2014,3,2,2,23,10,2.3
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1960,4,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,3,11,2014,2,0,0,2008,20,100.4
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1981,1,24480.0,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,3,11,2013,2,0,1,102,17,6.0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1972,3,77981.0,1,0,78,138,120,204,16,126,60,3,7,4,7,5,0,3,11,2013,5,6,1,664,26,25.53846153846154
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1984,5,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,3,11,2014,5,4,1,16,13,1.2307692307692308
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1976,2,79689.0,0,0,65,311,26,640,180,37,121,1,4,9,13,2,0,3,11,2013,5,6,0,1315,29,45.3448275862069
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1951,3,22263.0,1,1,31,17,0,2,0,0,2,2,1,0,3,6,1,3,11,2014,3,6,2,21,12,1.75
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1972,3,65685.0,0,1,54,642,14,49,0,7,57,1,9,2,9,5,0,3,11,2014,3,5,1,769,26,29.576923076923077
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1969,3,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,3,11,2013,9,2,1,1168,18,64.88888888888889
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1987,3,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,3,11,2014,2,1,0,778,28,27.785714285714285
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1954,5,52869.0,1,1,40,84,3,61,2,1,21,3,3,1,4,7,0,3,11,2012,10,0,2,172,18,9.555555555555555
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1959,5,52247.25135379061,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,3,11,2013,11,1,0,186,11,16.90909090909091
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1980,3,44010.0,1,0,46,186,36,234,86,72,48,6,10,2,6,9,0,3,11,2012,10,5,1,662,33,20.060606060606062
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1969,4,70091.0,1,0,11,964,34,137,15,0,11,2,5,2,10,8,0,3,11,2013,3,6,1,1161,27,43.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1972,5,27213.0,1,0,19,19,3,26,10,9,3,3,2,0,4,8,0,3,11,2012,8,3,1,70,17,4.117647058823529
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1966,3,60894.0,0,1,61,606,7,155,10,0,54,5,10,3,8,7,0,3,11,2013,6,4,1,832,33,25.21212121212121
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1979,2,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,0,3,11,2014,3,2,1,1274,37,34.432432432432435
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1971,3,26954.0,1,0,17,4,1,11,0,0,1,1,1,0,2,7,0,3,11,2014,5,3,1,17,11,1.5454545454545454
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1956,3,46086.0,0,1,34,244,8,32,7,2,50,4,3,1,8,4,0,3,11,2013,11,6,1,343,20,17.15
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1976,5,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,3,11,2013,3,3,1,689,24,28.708333333333332
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1973,4,44051.0,1,1,20,79,7,58,6,3,18,4,3,1,4,6,0,3,11,2013,1,1,2,171,18,9.5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1975,2,17003.0,1,0,37,2,5,12,4,8,7,3,2,0,4,5,0,3,11,2013,12,0,1,38,14,2.7142857142857144
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1976,3,47025.0,0,1,52,254,7,108,20,0,26,3,6,3,5,6,0,3,11,2013,11,3,1,415,23,18.043478260869566
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1953,5,46231.0,2,1,87,189,2,55,0,5,12,4,6,1,4,9,0,3,11,2012,11,0,3,263,24,10.958333333333334
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1948,5,60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,3,11,2013,1,2,1,685,31,22.096774193548388
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1945,5,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,3,11,2013,5,4,0,1120,20,56.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1965,3,4861.0,0,0,20,2,1,1,1,0,1,0,0,0,0,14,0,3,11,2014,6,6,0,6,14,0.42857142857142855
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1961,2,59184.0,0,1,6,341,142,113,259,151,66,3,6,6,12,5,0,3,11,2012,9,6,1,1072,32,33.5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1968,3,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,3,11,2013,4,3,1,1008,27,37.333333333333336
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1949,4,48150.0,0,1,24,173,2,39,3,2,47,3,5,1,4,7,0,3,11,2013,6,5,1,266,20,13.3
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1966,3,33279.0,0,0,29,10,3,3,0,0,0,1,0,0,3,3,0,3,11,2014,6,3,0,16,7,2.2857142857142856
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1945,5,45576.0,0,0,9,56,19,29,2,14,25,1,3,1,3,8,0,3,11,2014,5,2,0,145,16,9.0625
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1962,4,59432.0,0,1,88,317,25,265,25,19,12,3,5,3,11,5,0,3,11,2013,4,5,1,663,27,24.555555555555557
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1981,5,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,3,11,2014,1,6,1,422,24,17.583333333333332
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1969,3,58917.0,1,2,10,151,7,89,0,7,28,5,4,1,6,5,0,3,11,2013,3,6,3,282,21,13.428571428571429
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1959,3,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,3,11,2013,8,2,0,259,16,16.1875
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1989,1,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,0,3,11,2013,3,0,1,18,11,1.6363636363636365
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1953,3,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,3,11,2012,11,2,0,1210,34,35.588235294117645
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1964,3,42523.0,0,0,96,14,36,11,3,26,35,1,1,1,4,2,0,3,11,2014,4,2,0,125,9,13.88888888888889
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1955,5,49667.0,0,0,35,1181,26,120,17,13,39,2,5,10,5,8,0,3,11,2012,8,0,0,1396,30,46.53333333333333
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1964,3,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,3,11,2013,10,6,2,347,23,15.08695652173913
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1955,3,58275.0,1,1,48,189,10,253,56,43,64,6,8,2,7,7,0,3,11,2013,6,6,2,615,30,20.5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1978,3,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,3,11,2013,9,0,1,78,12,6.5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1965,4,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,3,11,2012,10,5,1,122,17,7.176470588235294
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1963,5,72968.0,0,0,8,1092,37,592,145,37,55,1,5,5,8,3,0,3,11,2013,12,0,0,1958,22,89.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1973,5,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,3,11,2012,10,3,1,424,27,15.703703703703704
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1963,3,49980.0,0,1,79,104,1,54,13,9,14,2,3,1,5,5,0,3,11,2013,10,2,1,195,16,12.1875
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1977,3,74985.0,0,0,8,587,51,898,247,0,86,1,3,6,7,2,0,3,11,2012,9,1,0,1869,19,98.36842105263158
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1959,3,62450.0,0,1,61,515,47,267,62,66,38,2,5,5,4,3,0,3,11,2014,1,0,1,995,19,52.36842105263158
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1952,3,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,3,11,2013,5,6,0,1574,21,74.95238095238095
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1970,2,23162.0,1,1,82,8,3,9,19,4,22,3,1,1,3,6,0,3,11,2013,12,5,2,65,14,4.642857142857143
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1950,4,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,3,11,2012,9,4,1,1477,33,44.75757575757576
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1974,3,42557.0,0,1,98,192,5,53,0,5,15,4,6,1,4,8,0,3,11,2012,8,2,1,270,23,11.73913043478261
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1963,5,48918.0,1,1,21,52,0,9,0,0,1,2,1,0,4,4,0,3,11,2014,4,5,2,62,11,5.636363636363637
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1986,3,26576.0,1,0,40,10,0,8,0,0,9,1,1,0,2,9,0,3,11,2012,10,5,1,27,13,2.076923076923077
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1957,3,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,3,11,2012,9,1,0,1617,32,50.53125
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1990,3,73687.0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,0,3,11,2013,11,3,0,1627,24,67.79166666666667
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1967,3,25930.0,1,1,87,6,1,2,2,0,4,1,1,0,2,7,0,3,11,2013,10,3,2,15,11,1.3636363636363635
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1983,3,69520.0,0,0,95,627,120,414,121,80,93,1,9,6,5,5,0,3,11,2013,7,6,0,1455,26,55.96153846153846
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1978,1,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,0,3,11,2012,9,6,1,80,11,7.2727272727272725
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1964,3,63404.0,0,2,97,734,26,70,11,44,17,2,6,3,4,4,0,3,11,2014,6,4,2,902,19,47.473684210526315
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1960,3,29315.0,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,3,11,2014,4,6,2,48,16,3.0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1982,3,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,3,11,2013,4,4,0,1772,21,84.38095238095238
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1986,3,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,3,11,2012,12,1,1,42,13,3.230769230769231
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1980,3,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,3,11,2013,4,0,1,1395,25,55.8
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1956,4,64857.0,0,0,78,556,14,717,210,0,43,1,7,5,10,4,0,3,11,2012,11,4,0,1540,27,57.03703703703704
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1976,4,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,3,11,2013,11,3,1,1053,24,43.875
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1952,3,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,3,11,2012,12,6,1,1103,26,42.42307692307692
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1965,3,42720.0,1,1,9,392,5,91,28,26,112,8,7,3,7,8,0,3,11,2013,4,2,2,654,33,19.818181818181817
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1963,5,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,3,11,2013,11,1,1,331,18,18.38888888888889
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1970,4,61872.0,0,1,81,330,5,159,36,27,16,4,4,4,9,4,0,3,11,2013,12,4,1,573,25,22.92
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1979,3,30545.0,1,0,71,4,12,15,19,7,12,2,2,0,3,7,0,3,11,2012,10,2,1,69,14,4.928571428571429
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1964,5,78825.0,0,0,35,483,74,114,169,37,18,1,5,10,13,3,0,3,11,2012,9,4,0,895,32,27.96875
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1962,3,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,3,11,2012,9,5,1,1245,38,32.76315789473684
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1959,3,71706.0,0,1,16,931,56,253,91,98,14,4,9,5,7,5,0,3,11,2012,11,1,1,1443,30,48.1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1954,3,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,3,11,2013,2,3,1,1338,22,60.81818181818182
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1953,4,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,3,11,2014,4,3,2,459,19,24.157894736842106
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1975,4,44319.0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,3,11,2014,4,3,2,37,12,3.0833333333333335
